name,rating,reviews,company_type,Head_Quarters
ITC Infotech,3.7,(4.7k),IT Services & Consulting,Bengaluru +68 other locations
Nagarro,3.9,(4.7k),IT Services & Consulting,Gurugram +49 other locations
Bosch,4.1,(4.6k),Auto Components,Bengaluru +132 other locations
Randstad,3.7,(4.6k),Recruitment,Hyderabad +357 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.6k),IT Services & Consulting,Bengaluru +56 other locations
Utkarsh Small Finance Bank,3.6,(4.6k),Banking,Varanasi +407 other locations
Hewlett Packard Enterprise,4.1,(4.6k),IT Services & Consulting,Bengaluru +104 other locations
Home Credit Finance,4.0,(4.5k),NBFC,Gurugram +138 other locations
Cars24,3.5,(4.5k),Internet,Gurugram +171 other locations
Aditya Birla Fashion and Retail,4.0,(4.5k),Fashion & Textile,Bengaluru +292 other locations
Mahindra Logistics,3.7,(4.5k),Logistics,Mumbai +235 other locations
L&T Finance,3.9,(4.5k),NBFC,Mumbai +636 other locations
Havells,3.9,(4.5k),Electrical Equipment,Noida +262 other locations
Dell,3.8,(4.5k),Consumer Electronics & Appliances,Bengaluru +118 other locations
R1 RCM,3.8,(4.5k),BPO,New Delhi +46 other locations
Intas Pharmaceuticals,4.1,(4.5k),Pharma,Ahmedabad +150 other locations
OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +412 other locations
Tata AIA Life Insurance,3.9,(4.4k),Insurance,Mumbai +445 other locations
Hyundai Motor India Limited,4.1,(4.4k),Automobile,Chennai +286 other locations
Hetero,3.9,(4.4k),Pharma,Hyderabad +68 other locations
Deutsche Bank,3.8,(4.4k),Banking,Pune +42 other locations
Motilal Oswal Financial Services,3.7,(4.3k),Financial Services,Mumbai +170 other locations
Berger Paints,3.7,(4.3k),Chemicals,Kolkata +357 other locations
TeamLease Services,3.9,(4.3k),Recruitment,Bengaluru +400 other locations
Lenskart,3.3,(4.3k),Internet,New Delhi +241 other locations
VE Commercial Vehicles,3.9,(4.3k),Automobile,Indore +180 other locations
Thermax Limited,4.2,(4.2k),Industrial Machinery,Pune +255 other locations
Bajaj Auto,3.8,(4.2k),Automobile,Pune +320 other locations
Macleods Pharmaceuticals,3.7,(4.2k),Pharma,Mumbai +135 other locations
Jubilant Foods Works,3.7,(4.1k),Hospitality,New Delhi +262 other locations
Aakash Educational Services,3.2,(4.1k),Education & Training,New Delhi +247 other locations
Kogta Financial India Limited,4.7,(4.1k),NBFC,Jaipur +260 other locations
LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances,Pune +300 other locations
Jindal Steel Limited,3.9,(4.1k),Iron & Steel,Angul +175 other locations
Hindalco Industries,4.2,(4.1k),Metals & Mining,Sambalpur +129 other locations
Royal Enfield,4.2,(4k),Automobile,Chennai +376 other locations
State Street Corporation,3.5,(4k),Financial Services,Bengaluru +35 other locations
DCB Bank,3.8,(4k),Banking,Mumbai +344 other locations
Tata Communications,3.9,(4k),Telecom,Pune +102 other locations
HDFC Ergo General Insurance,4.0,(4k),Insurance,Mumbai +327 other locations
